x,y,z,x,y,z
1.328539637,-0.6091343529,1.202291969,0.2088086307,-0.06877139956,0.547041297
1.485313376,-0.5968932955,1.618273402,-0.1420525461,-0.1483944207,0.438403964
2.058716344,-0.3288412015,0.775977943,-0.3727692664,-0.08698027581,0.5235918164
1.639927892,0.1190337912,-0.5102589681,-0.2104246765,0.1008369923,0.6776974201
0.842057485,-0.1213064123,-1.038479125,0.2012289166,0.1597705185,0.661650002
0.7002557625,-0.8841331973,-0.1129734682,0.4039140344,0.07888243347,0.5375141501
1.487906023,-1.692919185,1.014119175,0.279727459,-0.1634334028,0.4786057174
2.348933362,-1.924495652,1.296053372,0.05419330671,-0.3451533318,0.4988996685
1.708421874,-1.750712618,0.2329056696,0.01836393774,-0.2347651869,0.446290493
1.646399864,-1.748190406,-0.3690238665,0.1082523018,-0.2224707454,0.3713792264
2.452633391,-1.585894104,-0.3583522504,0.270342648,-0.6827079058,0.4231464863
2.834884988,-1.231088148,-1.01626554,0.570100069,-1.451649189,0.4829557538
1.915143886,-0.3913593247,-2.683924611,0.9752923846,-1.925332427,0.2494615614
2.222390949,0.3192833918,-3.919747678,1.483956099,-1.781678438,0.8061645031
2.723698987,-0.5048509716,-4.06114177,1.923454165,-1.161307693,1.850080729
0.6642346011,-0.6874012494,-1.990343796,1.811097741,-1.159772277,1.354451776
-0.3645560735,-1.090190315,-0.3375029391,1.428937912,-0.9783704877,0.7875438929
1.150971824,-0.06030863049,0.9660393271,1.033511996,-0.8008737564,0.8999125957
2.038671481,0.7537035673,1.481984524,0.6656205654,-0.7405595779,1.119400144
1.109388644,1.625640423,1.365072547,0.6122852564,-0.7183360457,1.149549484
0.05420300709,2.419825931,1.440614403,0.7480284572,-0.4997760057,1.038954377
-0.3621796997,2.032913941,2.721218277,0.7399724126,-0.2924264371,1.194706559
-2.202709366,1.338136025,4.507781375,0.3243294358,-0.3152620196,1.141946316
-4.519391734,1.098535242,4.790985738,-0.3525176346,-0.561501801,0.5585628748
-5.312630608,1.859184098,4.061667255,-1.059395671,-0.4108369648,-0.07816427201
-3.439705277,2.265641039,3.002541648,-1.428181052,-0.3652589023,-0.0501395911
-3.10345526,1.72639943,2.137611748,-1.473455906,-0.6899080276,0.3109194934
-5.264799182,0.9172320416,1.635969217,-1.58535552,-1.349311352,0.2242136747
-6.344429232,0.5344000144,0.02014846954,-1.479895592,-2.046462297,-0.09362181276
-5.892583875,-0.019232816,-2.182643899,-0.9184691906,-2.449982166,-0.2990280986
-4.664401093,-1.355593064,-1.955498108,-0.7181859016,-1.700442672,-0.3759281039
-2.129615489,-2.857226583,-0.09158522776,-1.071419358,-0.6005690098,-0.555121541
1.626585887,-3.870748085,0.3199468241,-1.247588277,-0.5923013091,-0.7199676633
4.264075495,-3.923408246,-1.041300612,-0.7354148626,-1.368171453,-0.7359877825
5.236578465,-3.438915588,-2.421980478,0.3490686119,-1.880587578,-0.7467802763
6.389840738,-2.924643877,-1.088954344,1.145656824,-1.783784747,-0.49801296
6.040979369,-2.868129086,1.449689105,1.061982393,-1.562637925,-0.08132126927
3.763092889,-3.014830636,1.57778357,0.5799186826,-1.524378538,0.1935390085
1.532386678,-2.763168244,-0.8140092752,0.610966742,-1.453284502,0.1801493913
1.015557683,-2.827282404,-2.025064396,0.8853722215,-1.050574303,0.02307544276
2.024089998,-3.49195978,-0.3804202898,0.5359283686,-0.2963730693,-0.1232186258
3.99899891,-4.141112548,0.1307289052,-0.2129825503,-0.3164769411,-0.2653796077
4.787479776,-4.705998593,-3.491725095,-0.6107708216,-0.9067077637,-0.2093604803
1.390576991,-5.172250077,-10.27201944,-0.1234609261,-0.2937182188,-0.3877389133
0.5299643701,-4.330984546,-13.01766722,0.6375662088,1.197965384,-0.4136710167
1.240788581,-6.527489213,-12.68417411,1.232382178,1.809364438,-0.5396251082
0.7925117292,-5.553056736,-13.7966385,2.126907349,0.9979749322,-0.5648576021
-2.566938984,-3.936587462,-15.995355,3.608211279,0.3374310136,-0.8417643905
-5.66766745,-2.253041085,-13.96305189,4.36469841,0.7782469988,-1.084749699
-6.726487352,-0.6251724645,-10.48682539,4.040398598,1.959657669,-1.006734252
-6.331005103,1.101765894,-8.116324923,3.705888987,2.394355774,-0.8965189457
-4.937038469,3.858802503,-6.969449721,3.950535774,2.098183393,-0.8332438469
-2.498169984,6.994993328,-4.792015666,4.26569128,1.578822732,-0.4762235582
-0.6000900457,9.558732055,-1.887328827,4.323165894,1.08802259,-0.1523339301
0.09438567214,11.7049994,1.457857506,4.056826115,0.7876344323,0.06367953867
0.939734673,14.2393811,4.576184173,3.546849966,0.2602089047,0.2760613263
1.846371963,17.22167959,5.604384772,3.351424694,-0.4693709314,0.5173063874
3.794685713,19.03530839,7.610127798,3.280358791,-1.207641721,0.7977657914
5.674296513,19.65846718,11.2009954,2.656979084,-1.972754478,1.055383325
7.931536511,19.74653592,13.85960437,1.232633114,-2.375101328,1.534797549
8.851037959,19.59978001,13.52592421,-0.3808027208,-2.237481117,2.277796745
7.994889332,18.14893121,11.02277,-1.487472534,-1.829590321,2.903958082
8.429353931,16.51274338,9.833664264,-2.33039999,-1.428770542,3.618501425
7.562121599,15.09910291,10.01531146,-3.542387486,-0.9529223442,4.400290489
3.183409087,13.64234343,9.175569773,-5.23852253,-0.1355017871,5.214787483
-7.10884241,10.55855324,2.636296598,-6.188281059,-0.3401978016,6.152304173
-27.40775444,3.092299076,-8.139374959,-5.658022404,-1.632052898,5.86212635
-44.86723156,-6.179235163,-17.51374764,-4.031661987,-1.651491284,4.044185162
-42.86763361,-13.36383862,-18.2679083,-2.744663477,-0.8381764889,2.361939192
-30.69332158,-14.991199,-11.42550442,-2.831922054,-0.1298740059,0.9109742045
-15.89846465,-13.37291742,-6.225507669,-3.319546938,0.7466918826,-0.1731757075
-3.367939141,-10.98666409,-3.211932586,-3.354893446,0.8977454901,-0.9637374878
6.862483384,-10.21474682,-0.8909773641,-2.881337881,-0.003202356165,-1.400931954
12.86016429,-9.244867181,0.8704081849,-2.51052022,-0.7372499108,-1.237320185
15.06083894,-9.221520792,0.1185813712,-2.182502747,-0.5465826988,-0.5717151165
13.29843881,-9.12909093,0.9445261451,-2.683856964,0.7058315873,-0.8427563906
11.90309972,-8.614761936,-2.888606057,-2.891219616,1.244990468,-1.452309132
11.26345624,-7.918864661,-10.82074053,-0.8758708239,0.132439822,-1.782327056
9.058421065,-8.895270484,-14.88078165,2.015844822,-0.07100968063,-2.044603825
5.031417711,-10.80937392,-10.67986374,3.175107002,0.7636905313,-2.350319147
-1.858361092,-13.29312784,-7.246693129,2.614437103,2.183347225,-2.83070612
-9.03844386,-15.82556659,-12.42329263,2.354805231,2.266808271,-2.908005238
-18.86988986,-14.83224178,-22.25090593,3.417451859,1.640265584,-3.177308798
-29.268643,-11.50277821,-28.91704841,5.001851082,1.716318846,-4.135437489
-29.09739212,-3.922913449,-24.30674423,5.449113369,3.467320442,-4.355575562
-19.4430428,3.31866453,-16.25671578,4.801174164,4.805764198,-4.018244743
-11.67870293,9.644857264,-14.48951088,5.573850155,3.475758553,-4.370779514
-5.624678788,16.11984998,-12.91634036,6.731578827,0.8273490071,-3.843743563
